% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_EV_D - Lin_EV_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)
42.81332398719393                                 -1.016433461319387E-7-1.853193866530344E-15i
42.81332398719393                                 6.556411952141156E-12-7.024814868234044i
42.81332398719393                                 -1.0165037594962976E-7+2.8738064979929713E-15i
42.81332398719393                                 6.556411952141156E-12+7.024814868234044i
42.81332398719393                                 -1.0165037594962976E-7-2.8738064979929713E-15i
42.81332398719393                                 -1.0280880590250908E-13-8.885765876318866i
42.81332398719393                                 -2.044339211032674E-12+1.4880540255757401E-16i
42.81332398719393                                 -1.0280880590250908E-13+8.885765876318866i
42.81332398719393                                 -2.044339211032674E-12-1.4880540255757401E-16i
42.81332398719393                                 -4.0231561917266646E-14-9.934588265792641i
42.81332398719393                                 -0.3619442864009776+3.586710647805871E-15i
42.81332398719393                                 -4.0231561917266646E-14+9.934588265792641i
42.81332398719393                                 -0.3619442864009776-3.586710647805871E-15i
88.58667904100822                                 3.343634030667162E-13-4.44288293814774i
88.58667904100822                                 -0.8105694691386339
88.58667904100822                                 3.343634030667162E-13+4.44288293814774i
88.58667904100822                                 -0.8105694691386339
88.58667904100822                                 1.5822643025097575E-12-7.024814447168845i
88.58667904100822                                 -2.1032729773084924E-7+1.9145799770723925E-15i
88.58667904100822                                 1.5822643025097575E-12+7.024814447168845i
88.58667904100822                                 -2.1032729773084924E-7-1.9145799770723925E-15i
88.58667904100822                                 -1.4334953781869575E-12-7.024815014914926i
88.58667904100822                                 -2.103149962759754E-7+4.688209729697641E-15i
88.58667904100822                                 -1.4334953781869575E-12+7.024815014914926i
88.58667904100822                                 -2.103149962759754E-7-4.688209729697641E-15i
88.58667904100822                                 -2.0029941625548256E-13-8.885765876317766i
88.58667904100822                                 -2.1917265859774816E-12+2.8918087765111334E-17i
88.58667904100822                                 -2.0029941625548256E-13+8.885765876317766i
88.58667904100822                                 -2.1917265859774816E-12-2.8918087765111334E-17i
88.58667904100822                                 -1.1041162162548902E-12-9.934588265794485i
88.58667904100822                                 -0.36194428631372944+3.960212396209242E-16i
88.58667904100822                                 -1.1041162162548902E-12+9.934588265794485i
88.58667904100822                                 -0.36194428631372944-3.960212396209242E-16i
183.29807108324357                                -1.352213337247531E-13-4.442882938132255i
183.29807108324357                                -0.8105694691386123
183.29807108324357                                -1.352213337247531E-13+4.442882938132255i
183.29807108324357                                -0.8105694691386123
183.29807108324357                                1.3915063546062839E-11-7.0248141436726055i
183.29807108324357                                -4.351874692199851E-7+2.3913751920043913E-15i
183.29807108324357                                1.3915063546062839E-11+7.0248141436726055i
183.29807108324357                                -4.351874692199851E-7-2.3913751920043913E-15i
183.29807108324357                                -1.3932275565701792E-11-7.024815318416887i
183.29807108324357                                -4.3517965516590424E-7+1.016394923546003E-15i
183.29807108324357                                -1.3932275565701792E-11+7.024815318416887i
183.29807108324357                                -4.3517965516590424E-7-1.016394923546003E-15i
183.29807108324357                                1.661327954218717E-14-8.88576587632599i
183.29807108324357                                -6.138405813721112E-13+3.982675877941632E-17i
183.29807108324357                                1.661327954218717E-14+8.88576587632599i
183.29807108324357                                -6.138405813721112E-13-3.982675877941632E-17i
183.29807108324357                                -4.549019234802149E-12-9.934588265779167i
183.29807108324357                                -0.36194428610225743+1.3446806418708628E-16i
183.29807108324357                                -4.549019234802149E-12+9.934588265779167i
183.29807108324357                                -0.36194428610225743-1.3446806418708628E-16i
379.26901907322497                                -1.2347452470470593E-13-4.44288293815798i
379.26901907322497                                -0.8105694691383478
379.26901907322497                                -1.2347452470470593E-13+4.44288293815798i
379.26901907322497                                -0.8105694691383478
379.26901907322497                                4.480687327226619E-12-7.024813515683234i
379.26901907322497                                -9.00456396468485E-7+1.8972524523722603E-15i
