% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_EV_N - Lin_EV_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
3359.818286283781                                 -7.870096735939216E-4+1.36083956374556E-7i        1.123717122180286E-15+3.339215292339894E-6i       3.339215292339894E-6
3359.818286283781                                 1.123717122180286E-15-3.339215292339894E-6i       1.7850420126400795E-5-6.28318578759385i           6.283185787619207
3359.818286283781                                 -1.000000000000155-2.194346699306874E-16i         1.7850420126400795E-5+6.28318578759385i           6.283185787619207
3359.818286283781                                 1.123717122180286E-15+3.339215292339894E-6i       3.432316222332997E-5-3.1416298035422314i          3.1416298037297263
3359.818286283781                                 -1.000000000000155+2.194346699306874E-16i         3.432316222332997E-5+3.1416298035422314i          3.1416298037297263
3359.818286283781                                 1.7850420126400795E-5-6.28318578759385i           3.4504292159676694E-5-3.1415557194002477i         3.1415557195897312
3359.818286283781                                 0.0013078556297217757-1.0332359859101585E-5i      3.4504292159676694E-5+3.1415557194002477i         3.1415557195897312
14384.498882876629                                -1.477333140756841E-5-6.283164954576677i          -1.477333140756841E-5-6.283164954576677i          6.283164954594045
14384.498882876629                                -0.0012293570207313022+7.167749449223015E-4i      -1.477333140756841E-5+6.283164954576677i          6.283164954594045
14384.498882876629                                -1.477333140756841E-5+6.283164954576677i          -3.2494640181771338E-6-3.141561148094788i         3.1415611480964682
14384.498882876629                                -0.0012293570207313022-7.167749449223015E-4i      -3.2494640181771338E-6+3.141561148094788i         3.1415611480964682
14384.498882876629                                -3.2494640181771338E-6-3.141561148094788i         -3.233245609828488E-6-3.1416241109217853i         3.141624110923449
14384.498882876629                                -8.235536829905054E-4-8.026172933071351E-8i       -3.233245609828488E-6+3.1416241109217853i         3.141624110923449
14384.498882876629                                -3.2494640181771338E-6+3.141561148094788i         -9.095641343407809E-15-3.377549092742482E-6i      3.377549092742482E-6
14384.498882876629                                -8.235536829905054E-4+8.026172933071351E-8i       -9.095641343407809E-15+3.377549092742482E-6i      3.377549092742482E-6
14384.498882876629                                -3.233245609828488E-6-3.1416241109217853i         1.0627357145705164E-5-4.442882949400413i          4.442882949413124
14384.498882876629                                -8.023435266197739E-4-8.51749007884647E-8i        1.0627357145705164E-5+4.442882949400413i          4.442882949413124
29763.51441631313                                 -2.8976674207077704E-5-4.4428830615804396i        -2.8976674207077704E-5-4.4428830615804396i        4.442883061674933
29763.51441631313                                 -7.171490904489719E-4-5.1959135286697805E-8i      -2.8976674207077704E-5+4.4428830615804396i        4.442883061674933
29763.51441631313                                 -2.8976674207077704E-5+4.4428830615804396i        -2.3016442415597665E-5-6.283184876316936i         6.283184876359092
29763.51441631313                                 -7.171490904489719E-4+5.1959135286697805E-8i      -2.3016442415597665E-5+6.283184876316936i         6.283184876359092
29763.51441631313                                 -2.3016442415597665E-5-6.283184876316936i         -5.990695855569879E-7-3.141538976953877i          3.1415389769539344
29763.51441631313                                 -0.0012301527180406068-2.7974885466041347E-5i     -5.990695855569879E-7+3.141538976953877i          3.1415389769539344
29763.51441631313                                 -2.3016442415597665E-5+6.283184876316936i         -5.289319654306369E-7-3.1416462308904536i         3.141646230890498
29763.51441631313                                 -0.0012301527180406068+2.7974885466041347E-5i     -5.289319654306369E-7+3.1416462308904536i         3.141646230890498
29763.51441631313                                 -5.990695855569879E-7-3.141538976953877i          5.1868313095304854E-15-3.5494153497901224E-6i     3.5494153497901224E-6
29763.51441631313                                 -2.4812423141734667E-4-3.4710735749464854E-8i     5.1868313095304854E-15+3.5494153497901224E-6i     3.5494153497901224E-6
61584.82110660255                                 -2.2326392398968766E-5-4.442882848433864i         -2.2326392398968766E-5-4.442882848433864i         4.442882848489961
61584.82110660255                                 -0.0017069437307886738-7.617200953695775E-12i     -2.2326392398968766E-5+4.442882848433864i         4.442882848489961
61584.82110660255                                 -2.2326392398968766E-5+4.442882848433864i         2.3090170922770966E-15-3.4859133819895023E-6i     3.4859133819895023E-6
61584.82110660255                                 -0.0017069437307886738+7.617200953695775E-12i     2.3090170922770966E-15+3.4859133819895023E-6i     3.4859133819895023E-6
61584.82110660255                                 2.3090170922770966E-15-3.4859133819895023E-6i     7.058573377265776E-6-3.1414359190509273i          3.1414359190588574
61584.82110660255                                 -1.0000000000001552+5.656821405487942E-16i        7.058573377265776E-6+3.1414359190509273i          3.1414359190588574
61584.82110660255                                 2.3090170922770966E-15+3.4859133819895023E-6i     7.088627942703383E-6-3.1417493065628945i          3.1417493065708912
61584.82110660255                                 -1.0000000000001552-5.656821405487942E-16i        7.088627942703383E-6+3.1417493065628945i          3.1417493065708912
61584.82110660255                                 7.058573377265776E-6-3.1414359190509273i          2.3212405335534096E-5-6.283165828125855i          6.283165828168733
61584.82110660255                                 -3.694550777571572E-4+2.622986139450651E-8i       2.3212405335534096E-5+6.283165828125855i          6.283165828168733
127427.49857031321                                -4.2395511541570404E-5-4.442882666506116i         -4.2395511541570404E-5-4.442882666506116i         4.4428826667083925
127427.49857031321                                -5.873859629411488E-5+1.4256087931256208E-7i      -4.2395511541570404E-5+4.442882666506116i         4.4428826667083925
127427.49857031321                                -4.2395511541570404E-5+4.442882666506116i         -2.5423167717493502E-5-6.283150817646762i         6.283150817698196
127427.49857031321                                -5.873859629411488E-5-1.4256087931256208E-7i      -2.5423167717493502E-5+6.283150817646762i         6.283150817698196
127427.49857031321                                -2.5423167717493502E-5-6.283150817646762i         -1.2259723896366237E-15-3.475341733850012E-6i     3.475341733850012E-6
127427.49857031321                                -1.8234762840228105E-4-4.268415914585962E-4i      -1.2259723896366237E-15+3.475341733850012E-6i     3.475341733850012E-6
127427.49857031321                                -2.5423167717493502E-5+6.283150817646762i         3.3247809077120847E-6-3.1412535585173167i         3.141253558519076
127427.49857031321                                -1.8234762840228105E-4+4.268415914585962E-4i      3.3247809077120847E-6+3.1412535585173167i         3.141253558519076
127427.49857031321                                -1.2259723896366237E-15-3.475341733850012E-6i     3.288615963523867E-6-3.1419315749017636i          3.141931574903485
127427.49857031321                                -1.0000000000001552-2.977098400516985E-16i        3.288615963523867E-6+3.1419315749017636i          3.141931574903485
