% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_EV_D - Full_EV_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)
379.26901907322497                                -1.0604377766934017E-11+9.934588265801144i
379.26901907322497                                -0.36194428566484355+4.1747056577202657E-16i
784.7599703514607                                 1.1624106928135768E-13-4.442882938152585i
784.7599703514607                                 -0.8105694691373815
784.7599703514607                                 1.1624106928135768E-13+4.442882938152585i
784.7599703514607                                 -0.8105694691373815
784.7599703514607                                 2.4144487037407318E-12-7.024812216296144i
784.7599703514607                                 -1.8631660989970243E-6-3.570991615826483E-15i
784.7599703514607                                 2.4144487037407318E-12+7.024812216296144i
784.7599703514607                                 -1.8631660989970243E-6+3.570991615826483E-15i
784.7599703514607                                 -2.5526531264797157E-12-7.024817245771977i
784.7599703514607                                 -1.8631631511687659E-6+4.148573423304615E-15i
784.7599703514607                                 -2.5526531264797157E-12+7.024817245771977i
784.7599703514607                                 -1.8631631511687659E-6-4.148573423304615E-15i
784.7599703514607                                 1.3566485519470008E-13-8.885765876285369i
784.7599703514607                                 -8.980086636949042E-12-1.6373695523816295E-17i
784.7599703514607                                 1.3566485519470008E-13+8.885765876285369i
784.7599703514607                                 -8.980086636949042E-12+1.6373695523816295E-17i
784.7599703514607                                 -7.300866505099407E-11-9.934588265823102i
784.7599703514607                                 -0.3619442847335716
784.7599703514607                                 -7.300866505099407E-11+9.934588265823102i
784.7599703514607                                 -0.3619442847335716
1623.776739188721                                 4.017883254635333E-14-4.442882938140501i
1623.776739188721                                 -0.8105694691329861
1623.776739188721                                 4.017883254635333E-14+4.442882938140501i
1623.776739188721                                 -0.8105694691329861
1623.776739188721                                 2.5298850553905424E-12-7.0248095276799205i
1623.776739188721                                 -3.855142536214876E-6+3.225462585655586E-17i
1623.776739188721                                 2.5298850553905424E-12+7.0248095276799205i
1623.776739188721                                 -3.855142536214876E-6-3.225462585655586E-17i
1623.776739188721                                 -2.606445105192554E-12-7.02481993435772i
1623.776739188721                                 -3.85514768404273E-6+4.958312785403813E-15i
1623.776739188721                                 -2.606445105192554E-12+7.02481993435772i
1623.776739188721                                 -3.85514768404273E-6-4.958312785403813E-15i
1623.776739188721                                 -1.2908565347818782E-14-8.88576587618869i
1623.776739188721                                 -3.304344266714229E-11-1.3714584271626526E-17i
1623.776739188721                                 -1.2908565347818782E-14+8.88576587618869i
1623.776739188721                                 -3.304344266714229E-11+1.3714584271626526E-17i
1623.776739188721                                 -1.3408677272185842E-10-9.934588265579686i
1623.776739188721                                 -0.3619442828241299+6.899503187594224E-17i
1623.776739188721                                 -1.3408677272185842E-10+9.934588265579686i
