% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_EV_N - Full_EV_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
183.29807108324357                                -5.123383063020944E-6+4.442882800658915i          2.5304373883762013E-6+3.141590377464624i          3.141590377465643
183.29807108324357                                -4.704293862116593E-5+1.4711421266684549E-8i      4.914903458965885E-6-3.1415944759032834i          3.141594475907128
183.29807108324357                                2.5304373883762013E-6-3.141590377464624i          4.914903458965885E-6+3.1415944759032834i          3.141594475907128
183.29807108324357                                -5.4937303215238046E-5+1.5326949033593475E-8i     9.060209123537732E-6                              9.060209123537732E-6
183.29807108324357                                2.5304373883762013E-6+3.141590377464624i          9.695377842387789E-6-6.283180246673482i           6.2831802466809625
183.29807108324357                                -5.4937303215238046E-5-1.5326949033593475E-8i     9.695377842387789E-6+6.283180246673482i           6.2831802466809625
379.26901907322497                                -5.878830403077331E-5-3.141637454335949i          -5.878830403077331E-5-3.141637454335949i          3.141637454885991
379.26901907322497                                -6.988171447001306E-4-4.710741908518023E-7i       -5.878830403077331E-5+3.141637454335949i          3.141637454885991
379.26901907322497                                -5.878830403077331E-5+3.141637454335949i          -5.705434829392764E-5-3.1415475128712766i         3.141547513389365
379.26901907322497                                -6.988171447001306E-4+4.710741908518023E-7i       -5.705434829392764E-5+3.1415475128712766i         3.141547513389365
379.26901907322497                                -5.705434829392764E-5-3.1415475128712766i         -1.654942044698832E-6                             1.654942044698832E-6
379.26901907322497                                -6.98583672018143E-4-4.676528783757695E-7i        1.6549420362220184E-6                             1.6549420362220184E-6
379.26901907322497                                -5.705434829392764E-5+3.1415475128712766i         1.794422851832108E-4-6.283181827024117i           6.283181829586476
379.26901907322497                                -6.98583672018143E-4+4.676528783757695E-7i        1.794422851832108E-4+6.283181827024117i           6.283181829586476
379.26901907322497                                -1.654942044698832E-6                             2.1740354054564808E-4-4.442882755303623i          4.442882760622726
379.26901907322497                                -0.9999999999999993                               2.1740354054564808E-4+4.442882755303623i          4.442882760622726
784.7599703514607                                 -0.0017149475697693856-3.140732690588847i         -0.0017149475697693856-3.140732690588847i         3.1407331587988536
784.7599703514607                                 -0.4875365671402443+1.0691328286732542E-5i        -0.0017149475697693856+3.140732690588847i         3.1407331587988536
784.7599703514607                                 -0.0017149475697693856+3.140732690588847i         1.3625126241303903E-13-1.3508374418519445E-6i     1.3508374418519513E-6
784.7599703514607                                 -0.4875365671402443-1.0691328286732542E-5i        1.3625126241303903E-13+1.3508374418519445E-6i     1.3508374418519513E-6
