0	30	41.6849	57.9209	80.4809	111.828	155.384	215.906	300	416.849	579.209	804.809	1118.28	1553.84	2159.06	3000	4168.49	5792.09	8048.09	11182.8	15538.4	21590.6	30000	41684.9	57920.9	80480.9	111828	155384	215906	300000	416849	579209	804809	1118280	1553840	2159060	3000000	4168490	5792090	8048090	11182800	15538400	21590600	30000000	41684900	57920900	80480900	111828000	155384000	215906000	300000000	
-98.6960440101862+0i	-98.6960440101861+0i	-98.6960440102001+0i	-98.6960440101946+0i	-98.6960440101981+0i	-98.6960440101901+0i	-98.6960440101851+0i	-98.6960440101644+0i	-98.6960440101251+0i	-98.6960440100398+0i	-98.6960440099054+0i	-98.6960440096268+0i	-98.6960440090775+0i	-98.6960440080277+0i	-98.6960440060131+0i	-98.6960440021162+0i	-98.6960439946022+0i	-98.6960439801037+0i	-98.6960439521055+0i	-98.6960438980412+0i	-98.6960437936559+0i	-98.6960435921268+0i	-98.696043203034+0i	-98.6960424518238+0i	-98.6960410014474+0i	-98.6960382011958+0i	-98.6960327946915+0i	-98.6960223565754+0i	-98.6960022033378+0i	-98.6959632939938+0i	-98.6958881712702+0i	-98.6957431329887+9.2552408737718e-14i	-98.6954631055105+0i	-98.694922453096+0i	-98.6938786264663+0i	-98.6918632470921+0i	-98.6879721040224+0i	-98.6804590559944+0i	-98.6659523289993+0i	-98.6379387587096+0i	-98.5838330300753+0i	-98.4792983874024+0i	-98.2771861683981+0i	-97.8858738309973+0i	-97.125939370424+0i	-95.639598136961+0i	-92.673929307121+0i	-86.3138591198757+0i	-70.2097117135513+-5.20146280730293e-14i	18.6095218645352+-10.6890137831981i	-0.231275048422678+0i	
-98.6960440101859+0i	-98.6960440101856+0i	-98.6960440102+0i	-98.6960440101942+0i	-98.6960440101974+0i	-98.6960440101899+0i	-98.6960440101847+0i	-98.6960440101642+0i	-98.6960440101248+0i	-98.6960440100395+0i	-98.696044009905+0i	-98.6960440096265+0i	-98.6960440090767+0i	-98.6960440080273+0i	-98.6960440060127+0i	-98.6960440021162+0i	-98.696043994602+0i	-98.6960439801035+0i	-98.6960439521054+0i	-98.6960438980409+0i	-98.6960437936554+0i	-98.6960435921268+0i	-98.6960432030339+0i	-98.6960424518236+0i	-98.6960410014468+0i	-98.6960382011957+0i	-98.6960327946903+0i	-98.6960223565741+0i	-98.6960022033377+0i	-98.6959632939922+0i	-98.6958881712694+0i	-98.6957431329887+-9.2552408737718e-14i	-98.6954631055101+0i	-98.6949224530952+0i	-98.6938786264622+0i	-98.69186324709+0i	-98.6879721040219+0i	-98.6804590559931+0i	-98.6659523289985+0i	-98.637938758709+0i	-98.5838330300743+0i	-98.4792983873969+0i	-98.2771861683952+0i	-97.8858738309953+0i	-97.125939370423+0i	-95.63959813696+0i	-92.6739293071194+0i	-86.3138591198748+0i	-70.2097117135513+5.20146280730293e-14i	18.6095218645352+10.6890137831981i	-0.231275048213933+0i	
-78.9568352079782+0i	-78.9568352079824+0i	-78.9568352079886+0i	-78.9568352079958+0i	-78.9568352079748+0i	-78.9568352079793+0i	-78.9568352079676+0i	-78.9568352079332+0i	-78.9568352078661+0i	-78.956835207747+0i	-78.9568352075261+0i	-78.9568352070861+0i	-78.956835206231+0i	-78.9568352045928+0i	-78.9568352014199+0i	-78.9568351953118+0i	-78.9568351835195+0i	-78.9568351607547+0i	-78.9568351167995+0i	-78.9568350319408+6.48874891137052e-14i	-78.9568348680894+0i	-78.9568345517467+0i	-78.9568339409921+0i	-78.956832761812+1.5764825243446e-13i	-78.9568304851506+0i	-78.9568260895912+3.30539232404139e-13i	-78.9568176030663+0i	-78.9568012184184+0i	-78.956769584031+0i	-78.9567085084188+0i	-78.9565905893935+0i	-78.9563629262664+0i	-78.9559233788325+0i	-78.9550747579338+0i	-78.953436412156+0i	-78.9502734170561+0i	-78.9441675068027+0i	-78.9323817569049+5.53739271572203e-14i	-78.9096383455756+0i	-78.8657687593447+0i	-78.7812225915727+3.66061963940448e-13i	-78.6185549187564+0i	-78.3065307188756+0i	-77.711371628967+0i	-76.5870751140628+0i	-74.4958828031098+0i	-70.692300573675+0i	-63.9882738144841+0i	-53.0846422858408+0i	-18.8265402405716+1.16140505643473e-13i	-0.0815233635128427+0.129238655759324i	
-78.9568352079781+0i	-78.9568352079822+0i	-78.9568352079885+0i	-78.9568352079954+0i	-78.9568352079748+0i	-78.9568352079791+0i	-78.9568352079676+0i	-78.9568352079329+0i	-78.9568352078656+0i	-78.9568352077469+0i	-78.956835207526+0i	-78.9568352070861+0i	-78.9568352062309+0i	-78.9568352045927+0i	-78.9568352014198+0i	-78.9568351953116+0i	-78.9568351835193+0i	-78.9568351607544+0i	-78.9568351167994+0i	-78.9568350319408+-6.48874891137052e-14i	-78.9568348680893+0i	-78.9568345517464+0i	-78.9568339409917+0i	-78.956832761812+-1.5764825243446e-13i	-78.95683048515+0i	-78.9568260895912+-3.30539232404139e-13i	-78.9568176030656+0i	-78.9568012184171+0i	-78.9567695840296+0i	-78.9567085084183+0i	-78.9565905893934+0i	-78.9563629262654+0i	-78.9559233788324+0i	-78.9550747579333+0i	-78.9534364121534+0i	-78.9502734170553+0i	-78.9441675068014+0i	-78.9323817569049+-5.53739271572203e-14i	-78.9096383455745+0i	-78.8657687593432+0i	-78.7812225915727+-3.66061963940448e-13i	-78.6185549187554+0i	-78.3065307188751+0i	-77.7113716289664+0i	-76.5870751140619+0i	-74.4958828031092+0i	-70.6923005736732+0i	-63.988273814484+0i	-53.0846422858407+0i	-18.8265402405716+-1.16140505643473e-13i	-0.0815233635128427+-0.129238655759324i	
-49.3480220047518+0i	-49.3480233546171+0i	-49.3480238815095+0i	-49.3480246120859+0i	-49.3480256295369+0i	-49.3480270404158+1.33113974394342e-09i	-49.3480290013162+0i	-49.3480317251961+0i	-49.3480355125109+0i	-49.3480407738359+0i	-49.3480480822267+0i	-49.3480582392023+0i	-49.3480723503883+0i	-49.3480919613352+0i	-49.3481192073571+0i	-49.3481570676023+0i	-49.3482096709653+0i	-49.3482827605683+0i	-49.3483843150531+1.72804895918978e-10i	-49.3485254206539+0i	-49.3487214682634+0i	-49.348993854653+0i	-49.3493722795858+0i	-49.3498980052443+0i	-49.3506283063968+0i	-49.3516427008392+0i	-49.3530515016458+7.08704273215018e-11i	-49.3550076447531+0i	-49.3577231408972+0i	-49.3614912304498+0i	-49.3667172903619+0i	-49.3739600620969+0i	-49.3839876986979+7.12306237993597e-12i	-49.3978511337782+1.05493117758417e-11i	-49.4169789393149+0i	-49.4432965597154+0i	-49.4793604833455+0i	-49.5284982551743+0i	-49.5948942611691+0i	-49.6835182071432+0i	-49.799635902885+0i	-49.9473873902123+8.7904254359052e-13i	-50.1263678959097+0i	-50.3239801496776+0i	-50.4990991069306+0i	-50.5472508401865+0i	-50.223636679352+0i	-48.9410377733229+0i	-44.7458567894078+0i	-17.4655656020579+0i	-0.0815233631820368+0.129238655754904i	
-49.3480220047518+0i	-49.3480233533735+0i	-49.3480238795232+0i	-49.3480246110644+0i	-49.3480256279614+0i	-49.3480270404158+-1.33113974394342e-09i	-49.348028999871+0i	-49.3480317249484+0i	-49.3480355111463+0i	-49.3480407698527+0i	-49.3480480812704+0i	-49.3480582376589+0i	-49.3480723497155+0i	-49.3480919598081+0i	-49.3481192065819+0i	-49.3481570648275+0i	-49.3482096697664+0i	-49.3482827593327+0i	-49.3483843150531+-1.72804895918978e-10i	-49.3485254202007+0i	-49.3487214669598+0i	-49.3489938545132+0i	-49.3493722793412+0i	-49.3498980051448+0i	-49.3506283062788+0i	-49.351642700603+0i	-49.3530515016458+-7.08704273215018e-11i	-49.3550076447254+0i	-49.3577231408319+0i	-49.3614912304208+0i	-49.3667172903522+0i	-49.3739600620592+0i	-49.3839876986979+-7.12306237993597e-12i	-49.3978511337782+-1.05493117758417e-11i	-49.4169789392846+0i	-49.4432965596856+0i	-49.4793604833442+0i	-49.5284982551716+0i	-49.5948942611684+0i	-49.6835182071421+0i	-49.7996359028846+0i	-49.9473873902123+-8.7904254359052e-13i	-50.1263678959075+0i	-50.3239801496752+0i	-50.4990991069304+0i	-50.5472508401864+0i	-50.2236366793515+0i	-48.9410377733225+0i	-44.7458567894077+0i	-17.4655656020572+0i	-0.0815233631820368+-0.129238655754904i	
-49.3480220047222+0i	-49.3480206561082+0i	-49.348020129963+0i	-49.3480193984448+0i	-49.3480183815161+0i	-49.3480169690705+1.33114004051502e-09i	-49.348015009617+0i	-49.3480122845207+0i	-49.3480084982828+0i	-49.3480032395007+0i	-49.347995927962+0i	-49.3479857713129+0i	-49.3479716587527+0i	-49.3479520476833+0i	-49.3479247990409+0i	-49.3478869372017+0i	-49.3478343253327+0i	-49.3477612223812+0i	-49.3476596408199+1.72953282105071e-10i	-49.3475184857921+0i	-49.3473223427002+0i	-49.3470497691695+0i	-49.3466709852874+0i	-49.3461445662702+0i	-49.3454129266961+0i	-49.3443959482566+0i	-49.3429821580277+7.11039720480149e-11i	-49.3410163824983+0i	-49.3382822886839+0i	-49.3344782929821+0i	-49.3291829087509+0i	-49.3218062937886+0i	-49.3115202444319+7.10465374540879e-12i	-49.2971578902332+1.14967669944658e-11i	-49.2770668370326+0i	-49.2488894356468+0i	-49.2092348602129+-2.24217602874231e-13i	-49.1531645058823+0i	-49.0733836024399+0i	-48.9589162557421+0i	-48.7928986876069+0i	-48.5487925680844+8.08636309276621e-13i	-48.1837212922157+0i	-47.6266139639465+0i	-46.7565603272123+3.05177154127703e-13i	-45.3630990900989+0i	-43.0722107359107+5.47546490868332e-13i	-39.2058275197755+0i	-32.4783413737731+0i	-11.4073498606907+0i	0.151465147124196+0i	
-49.3480220047221+0i	-49.3480206548646+0i	-49.3480201279769+0i	-49.3480193974232+0i	-49.3480183799406+0i	-49.3480169690705+-1.33114004051502e-09i	-49.3480150081719+0i	-49.3480122842733+0i	-49.3480084969181+0i	-49.3480032355176+0i	-49.3479959270059+0i	-49.3479857697692+0i	-49.3479716580795+0i	-49.3479520461559+0i	-49.3479247982655+0i	-49.347886934427+0i	-49.3478343241339+0i	-49.3477612211456+0i	-49.3476596408199+-1.72953282105071e-10i	-49.3475184853392+0i	-49.3473223413963+0i	-49.3470497690295+0i	-49.346670985043+0i	-49.3461445661714+0i	-49.3454129265784+0i	-49.3443959480203+0i	-49.3429821580277+-7.11039720480149e-11i	-49.3410163824708+0i	-49.3382822886184+0i	-49.3344782929535+0i	-49.329182908741+0i	-49.3218062937504+0i	-49.3115202444319+-7.10465374540879e-12i	-49.2971578902332+-1.14967669944658e-11i	-49.2770668370037+0i	-49.2488894356176+0i	-49.2092348602129+2.24217602874231e-13i	-49.1531645058798+0i	-49.0733836024391+0i	-48.9589162557409+0i	-48.7928986876056+0i	-48.5487925680844+-8.08636309276621e-13i	-48.183721292214+0i	-47.6266139639439+0i	-46.7565603272123+-3.05177154127703e-13i	-45.3630990900987+0i	-43.0722107359107+-5.47546490868332e-13i	-39.2058275197754+0i	-32.4783413737728+0i	-11.4073498606907+0i	0.151465137195529+0i	
-19.7392088014818+0i	-19.7392088014838+0i	-19.7392088014885+0i	-19.7392088014916+0i	-19.7392088014905+0i	-19.7392088014879+0i	-19.7392088014936+0i	-19.7392088014906+0i	-19.7392088014858+0i	-19.7392088014615+0i	-19.7392088014448+0i	-19.7392088013934+0i	-19.739208801288+0i	-19.7392088010824+0i	-19.7392088007096+0i	-19.7392087999827+0i	-19.7392087985869+0i	-19.7392087958926+0i	-19.7392087906915+0i	-19.7392087806465+0i	-19.7392087612445+0i	-19.7392087237942+0i	-19.7392086514866+0i	-19.7392085118955+0i	-19.7392082423631+0i	-19.7392077219832+0i	-19.7392067172377+0i	-19.7392047774408+0i	-19.7392010322135+0i	-19.7391938013953+0i	-19.7391798407826+1.51741276003127e-14i	-19.7391528872848+4.26304254473908e-14i	-19.7391008478576+0i	-19.7390003750652+0i	-19.7388063956249+0i	-19.7384318727304+0i	-19.7377087905661+0i	-19.7363127272274+1.68251186942361e-14i	-19.7336173668384+0i	-19.7284133889991+0i	-19.7183659780169+6.03277454451249e-15i	-19.6989675318395+2.5455709333441e-14i	-19.6615132997387+0i	-19.5891973365756+0i	-19.4495583837024+0i	-19.1798728073018+0i	-18.6587009920657+0i	-17.6492590997114+5.42517159847778e-14i	-15.673565745074+0i	2.42497630568968+1.44394146215729e-13i	-0.0147808304943283+0i	
-19.7392088014817+0i	-19.7392088014838+0i	-19.7392088014885+0i	-19.7392088014916+0i	-19.7392088014904+0i	-19.7392088014879+0i	-19.7392088014935+0i	-19.7392088014906+0i	-19.7392088014858+0i	-19.7392088014614+0i	-19.7392088014448+0i	-19.7392088013934+0i	-19.739208801288+0i	-19.7392088010824+0i	-19.7392088007096+0i	-19.7392087999827+0i	-19.7392087985869+0i	-19.7392087958926+0i	-19.7392087906915+0i	-19.7392087806465+0i	-19.7392087612445+0i	-19.7392087237942+0i	-19.7392086514865+0i	-19.7392085118955+0i	-19.7392082423631+0i	-19.7392077219831+0i	-19.7392067172377+0i	-19.7392047774407+0i	-19.7392010322135+0i	-19.7391938013952+0i	-19.7391798407826+-1.51741276003127e-14i	-19.7391528872848+-4.26304254473908e-14i	-19.7391008478576+0i	-19.7390003750651+0i	-19.7388063956248+0i	-19.7384318727303+0i	-19.7377087905661+0i	-19.7363127272274+-1.68251186942361e-14i	-19.7336173668383+0i	-19.7284133889991+0i	-19.7183659780169+-6.03277454451249e-15i	-19.6989675318395+-2.5455709333441e-14i	-19.6615132997386+0i	-19.5891973365756+0i	-19.4495583837023+0i	-19.1798728073018+0i	-18.6587009920656+0i	-17.6492590997114+-5.42517159847778e-14i	-15.673565745074+0i	2.42497630568968+-1.44394146215729e-13i	-0.0147808304896851+0i	
